加油，雷爸爸，为人民谋幸福[心],good
雷总说的好[作揖][作揖],good
雷总 先生产一点黑色的小米汽车出来看看,good
澎湃系统什么时候可以做的更丝滑些,good
加油，雷总，祝福小米越来越强大，成为人们衣食住行都离不开的一家伟大科技公司！,good
[赞],good
雷总，为啥断更了[泪],good
归来仍是少年~,good
#雷军回应不建议给年轻人太多建议# 认真听讲！,bad
雷总牛逼！,good
有道理,middle
转发微博,middle
谢谢你，我的偶像，会努力的,good
小米应该能成为一家伟大的公司,good
“青年就该有青年的胆魄，青年就该有青年的锐气。如何成就更好的自己？每个时代有每个时代的答案。”---雷军[doge]写作文可以用了,good
永远相信美好的事情即将发生！,good
雷总像太阳一样，发出巨大的能量，我接收到了！[心][心][心]这期适合全文背诵，反复观看！相信梦想的力量，敢想敢干！！[鲜花][鲜花][鲜花]相信自己，去做热爱的事！！！[good][good][good],good
果然还是雷总了解们年轻人,good
过了五四青年，就立夏[doge],good
华为神一样的存在,middle
佩服雷总,good
[打call],middle
雷总牛批[打call][打call][打call],good
您的话一直能够带给我激励[热卖],good
真诚，热爱！,good
雷总 节日快乐哦[打call],good
@angel_朗朗: 《九龙城寨之围城》真的特别好看！！[鼓掌][鼓掌],good
概率论，从不确定性中寻找确定性，一个人一直深耕一个领域，提高成功率[doge],good
永远热血,good
谢谢雷总的鼓励[春游家族],good
军总，su7在车外都能喊小爱开车门，开车上路不怕遇到路狂证的吗？,good
我们与雷总同频共振,bad
雷总，听了您的演讲，我灰常激动💗您位高权重，已成为党和国家倚重的中坚力量，您的一举一动，都众矢之的，成为舆论的风口浪尖，我们希望您没有半点闪失，不要左右摇摆，更不要动摇思想，所有过往皆为阶梯，记得去年暑假您演讲的主题就是”成长”，说的就是人因坚持梦想而🉐到成长的事[鼓掌][鼓掌],good
"还有青年人的精神，敢想，敢做，敢拼, 敢闯[赞]",good
真的好优秀啊[心],good
转发微博,middle
[打call],middle
对未来的走向要有预见性，对于所走的每一步有危机感，先有规划再有执行，可能路途会偏移，但只要每天都坚持的按照规划走好每一步，始终会到达梦想的灯塔处[拳头],good
雷总，晚安！[心],good
五四青年节快乐[作揖][作揖][心][心],good
保持热爱，敢想敢干。,bad
[good],middle
雷总，四月份的优惠能不能再给一天，后悔四月没有买到,middle
转发微博,middle
20年前，年轻的我在北京，应该去偶遇一下雷总,good
谢谢雷总的祝福，受到了启发和鼓舞。[鲜花][鲜花][good][good][心][心],good
转了,middle
雷总是懂我们年轻人的[嘻嘻],good
永远相信美好的事情即将发生，00后的时代要来了[doge],good
[泪][泪][泪][赞][赞][赞],good
[赞][赞][赞],good
[心][心],good
永远热泪盈眶,good
“敢想敢干，敢拼敢闯”，雷总五四采访鸡汤金句频出，短短几分钟浓缩精炼[握手][作揖][作揖]#雷军献给青春的演讲#,good
还是雷总更懂我们年轻人，雷总牛[爱你],good
雷总，我的梦想是能开上小米su7。您能帮我提前实现吗？[doge],good
[赞][赞][赞],good
雷总，您平时一般几点睡？年轻人熬夜这事请问您怎么看？,good
永远相信美好的事情即将发生！@雷军,good
雷总的书里说过，我们不要拿顾客当上帝，要和他们做朋友，因为朋友之间充满信任[鲜花],good
我的作文素材又多了[抱一抱][抱一抱][抱一抱],good
雷总像太阳一样发出耀眼的光芒，我接收到了巨大的能量！这期适合全文背诵，反复观看！相信梦想的力量，敢想敢干！！[心][心][心]相信自己，去做热爱的事！！！[good][good][good],good
偶像,good
雷总，榜样的力量[打call]踏实 勤奋 努力 敢拼敢做,good
雷总，我的偶像,good
小米su7是否有叶子板设计缺陷问题?都看到十几例了啦，是不是广东就不配开小米su7吗[允悲]在生产中了的准车主很担心,good
热爱是永远的理由和答案,good
排面拉满[打call],bad
转发微博,middle
年轻人， 还是要有年轻的魄力，敢想敢干最重要，不要听人家这个建议，那个建议，先干了再说，你去试一下，说不定就成了。人生是一场马拉松，一时的成败得失都不重要，任何的成功背后都需要认知的改变和认知的突破。要相信梦想，相信坚持，相信生生不息的力量，要相信那些美好而坚韧的东西[太开心],good
加油雷总[太开心],middle
寄语年轻人的中肯诚挚！有点儿喜欢@雷军 了,good
雷总，hyper os改改吧，比起别家落后啦[doge][doge][doge],middle
@搬砖人xxl 科技行业，敢做梦,good
节日快乐~,good
你和我爸爸同年，我能不能叫你一声爸爸,good
雷总留给我们的或许不仅是一个伟大的公司，更是一种企业家精神[赞],good
加油！！！,good
一直很喜欢@雷军 总，此微博转自红米K40[嘻嘻][嘻嘻][嘻嘻],good
永远热泪盈眶！//@雷军:永远年轻//@粜米杰哥:雷总依然是青年企业家[心][心][心],good
[泪][泪],good
6,bad
喜欢雷总[努力][努力][努力],good
雷总是我的信仰,good
珞珈山少年青春常在,good
能不能回复我[爱你],bad
雷军说话又好听，人长的帅，我一个男的都喜爱！[色][舔屏],good
好[握手],good
[努力][努力][努力][努力][努力][努力],good
晚安雷总,bad
自p2p诚信清零爆雷后，信托雷、私募雷、期房雷、基金雷、股票雷、押金雷，各种雷接踵而至，面对如此毫无诚信、纷繁复杂的世界，谁的建议都可能暴雷，更何况是雷总！雷总英明,good
人民日报也是正常了，居然也能报道雷军了！[泪][作揖],good
[good][good],middle
#五四青年节# 青年就该有青年的胆魄，青年就该有青年的锐气[心][心][心],good
青年节快乐！㊗️我们永远年轻[加油],good
[心],good
梦想终是要持之以恒和坚韧不拔,good
雷总就是青年的偶像和榜样，每一个有梦的人都是青年，不论你是50还是60岁的年龄，任何一个认为自己依然年轻的人都应该买小米汽车。小米汽车真领先。,good
追求真善美,good
[坏笑],middle
刚在高架上看到前面一辆小米SU7 很有辨识度的尾灯 给老婆大呼 “看 小米SU7!”   可惜我的十年小油车挂S档 没追上[允悲][允悲][允悲],good
发言稿提到了雷总！ http://t.cn/A6H7Vx7k,good
我也要换小米手机了支持雷总支持小米@雷军,good
自信的人生无限宽广！,good
雷总真的是我唯一敬佩的企业家[赞],good
雷总真会说话！,good
节日快乐[哇],good
转发微博,middle
忙碌半生，归来仍是少年[打call],good
可惜现在年轻人试错成本太高，容错率太低，想尝试想gap也没那个条件,bad
雷总我永远的榜样，支持雷总，支持小米[打call][打call][打call],good
雷总永远年轻！,good
永远相信美好的事情即将发生,good
谢谢雷爹,good
[赢牛奶]朝前走,good
胖猫[泪][泪][泪],good
我真心喜欢雷总 所以我立志当雷粉,good
转发微博,middle
好！！！,bad
热泪盈眶的抢了2杯子，为什么抢不到车模[泪] http://t.cn/A6H7cBSn,good
[打call],middle
每个人的人生都有无限可能,good
太多企业没有把用户当朋友，一直拉开与老百姓之间的差距，制造我高你低的隔绝阶级。所幸，我们之中有人，他努力拼搏，让用户真正成为被服务的中心，他不顾一切，为老百姓填平与高高在上的科技之间的沟壑[可怜][可怜][可怜],good
没有建议就是好建议[哈哈],bad
雷总，吾辈楷模！！！梦想就是要敢想敢拼，做个长期主义者，如果梦想不敢想，那么永远不会成功。要把自己的目标，拆解成一个个细小的模块，一个个消化，解决它，终究会朝着目标慢慢靠近。如果行动都没有，何谈梦想？,good
不是不应该给年轻人建议，而是那些专家给年轻人的建议太离谱了。[融化],middle
这是一场献给青春的演讲！如何追寻梦想的脚步，成就更好的未来？听@雷军 的答案。,good
少年感好强啊,good
满满的正能量，感谢你我的偶像[爱你],good
[赞][赞][赞][赞],good
青年节快乐,good
雷军仅用了13年就完成了人车家的企业，真是不容易呀！,bad
[赞啊],good
[努力][努力][努力],good
转发微博,middle
真好。^_^//@数码神测:愿你出走半生，归来仍是少年[心],good
@进击的冯一笑,middle
[打call][打call],middle
雷总 青年节快乐啊,good
雷总坐得好端正[哈哈],good
雷总是青年人的榜样[心][心][心],good
哥，你真可爱！节日快乐！晚安！[心][心][心],good
当代年轻人的偶像[心],good
先生大义[good][good][good],good
能不能进军羽毛球[色],bad
雷总依旧年轻帅气,good
永远年轻，永远热泪盈眶,good
永远相信美好的事情即将发生[doge],good
[全力以赴][全力以赴][全力以赴][全力以赴],good
也祝雷总永远年轻，永远热泪盈眶[666]#雷军回应不建议给年轻人太多建议#,good
雷总，这是您吗[doge] http://t.cn/A6H7tfQR,good
又接地气又与众不同👍,good
青年人要有梦想[哇]，要有梦想成真的信念[锦鲤附体]，要有实现梦想的决心[努力]和毅力[开学季]！！[耶],good
雷总好励志[泪][泪],good
[举手][举手][举手][全力以赴][全力以赴],good
怎么办！最近爱上雷总了[允悲][允悲][允悲],good
谢谢雷总 吾辈楷模[作揖],good
少年气真的很难存留  支持雷总到现在的  是那颗拥有前进梦想的心,good
晚安💤,middle
雷总依然是那个少年！,good
归来时，仍是少年！[作揖],good
值得年轻人追随[赞][赞][赞],good
雷总啥时候高考来一波鸡血分享下咋考的武大,good
有梦就去追！冲鸭！[作揖],bad
太帅了,middle
[心][心][心][心],good
雷总，节日快乐！[作揖],good
支持雷总[doge][doge],good
帅哥,good
[doge][doge][doge],middle
好棒的一段演讲[鼓掌][可爱][赞][赞][赞][送花花],good
青年人应该奋斗，挣钱买SU7[笑cry]，想开酥妻,good
优秀青年企业家！,good
踩在时代脉搏上的起舞者，一露脸就热搜[笑哈哈],good
年青人的第一辆车应该是五菱,middle
嗯！[good][送花花],good
越发觉得，那些降车窗给小米su7竖大拇指的人们，这个拇指不是给车主的，是给小米su7和雷军的。,good
雷总也买水军了？,good
永远年轻，永远热泪盈眶,good
中国也有自己的雷布斯，雷斯克[good][good][good]雷总加油,good
热爱低万难❤️,good
雷总，谢谢你的祝福！,good
[赞],good
永远相信自己,good
永远年轻，永远热爱！,good
雷总加油[酷],good
永远年轻  永远敢想敢干[收到],middle
永远年轻，永远热泪盈眶,good
雷总果然和青年可以同频共振,good
雷总我也想被回复狗头[doge],bad
耶耶耶,middle
好的！长期主义者,middle
永远相信美好的事情即将发生[心][心][心],good
早点儿休息[鲜花],middle
感谢雷总做出贡献，让普通人民群众用上极具性价比产品。[赞啊],good
永远年轻！永远热泪盈眶！,good
诶？补胎哥不来了？被拉黑了？,bad
小米加油，雷总加油，五四青年节快乐[心],good
@雷军 建议你会说，少说点[允悲][笑cry],good
永远年轻，永远热泪盈眶！ http://t.cn/A6H75caS,good
“不要让一时的迷茫，遮盖你眼中的光芒”，这句话说的太好了[good],good
雷总好帅[doge],good
看完了，感觉很有力量,good
回答得真好,bad
人因梦想而伟大，又因坚持梦想而而成长,good
我已经没有未来了还有啥未来,good
永远年轻，永远热泪盈眶[赢牛奶],good
加油[加油],good
不气盛叫年轻人嘛[doge],good
小雷，24周的pro，下个月能提车吗？[doge],good
我的偶像，贴贴[抱抱][抱抱][抱抱][心][心][心],good
永远热泪盈眶，永远积极向上！[心],good
你是真优秀,good
雷总能否再次开启改配置通道🙏,good
雷总怎么看起来这么紧张[doge],good
要有朝气,good
6,bad
永遠熱淚盈眶。[淚][淚][淚][good][good][good],bad
仰望星空，脚踏实地。敢想敢拼，顺势而为。#五四青年节#,bad
真好[心],good
雷总[打call],good
嗯，所处的时代不一样，地位不一样，角色不一样。给的建议也不一定合适！,good
我的偶像,good
好样的,middle
你的语录是我失败时的港湾,bad
区块链改变世界体系 你信吗？,good
才看到发博了[哈哈],bad
愿你出走半生，归来仍是少年,good
雷总：偶像,good
雷总[收到],good
雷总晚上好,good
没有人能告诉你所有的答案 曾经的经验或套路 都无法导引明天的路 所以你准备好了吗？,middle
太对了,bad
@雷军 在职期间，购买友商的产品，多次在工作期间发布在个人账号并大肆宣扬，立即开除！[doge],good
年轻人找你说一句，永远年轻,good
所以雷总什么时候出相机呢？,good
雷军欠了一屁股车，我欠了一屁股债！[泪],bad
京家人,middle
雷总可以回复别的表情吗[doge],good
雷总！您是我的榜样[鲜花],good
爱你 雷总[心]！,good
雷总，我们今天提车了。也有鲜花！谢谢雷总聆听用户的心声 http://t.cn/A6H7qbbv,good
好耶[努力],middle
@农村小毕毕: 建议你不要建议[允悲][笑cry],good
这次米车的发布，雷总打出了二十年前在卓越网收回的那一拳！,bad
[可爱],good
雷总，粤港澳车展小米参展吗？您会来吗[泪],good
为什么每个镜头都恰好避开正面,good
为正能量点赞👍,good
雷总永远是怀有梦想的“少年”,good
这个不错，,good
哈哈哈哈哈鸡汤十足//@雷军:[doge][doge][doge]//@鬼才的麻醉梦:满满的鸡汤，谢谢我的偶像,good
困了睡觉吧[心],good
放心吧我肯定不会饿死[嘻嘻],good
没有什么真情实感呢,good
做最好的自己，就行,good
像我这样的饿死活该[嘻嘻],middle
我不想研究科技，我也不想研究怎么赚钱[允悲],good
我还是想研究人儿[嘻嘻]我对人的兴趣超越所有[嘻嘻],good
我感觉雷军研究女人都没有这么认真研究过[允悲][允悲],good
[我想开了],bad
雷军为了造车，把车里里外外，算是研究的明明白白的了[嘻嘻],good
建议把hud内容做丰富一点，尤其安全性配置提示，盲区影像，盲区检测提示，更明显，参考理想的现实内容，不然这么大一个浪费了,bad
[good][威武],middle
🫡,middle
没看懂，说了啥？,bad
@雷军 雷总 pro版交付能不能追赶一下标准版和max版呢[抱抱][抱抱][抱抱],good
不知道雷总老了以后会不会后悔自己成为买办,bad
[心][心][心],good
永远相信美好的事情即将发生！,good
[努力][努力][努力],good
雷总，一起去植发吧[笑cry],good
永远年轻，满怀热爱！,good
又年轻了雷./[打call][打call][打call],good
还是那个坐姿端正的雷总[赞],good
青年有为，为梦想奋斗💪,good
雷总年轻的时候那么帅和羞涩[打call][打call][打call][打call][打call][打call],good
这就是小米的售后，实在让人失望。在京东自营平台购买的笔记本电脑，用了不到半年，主板出故障，拿去小米官方售后维修，但是修完经常出现网连不上，用了不到一年拿去第二次维修，第二次维修工程师告诉我，第一次官方维修的工作人员乱接线，并且网连不上的问题修不好，是小米共性问题@雷军 @小米服务 ,bad
热爱中国的泪光在我眼中闪烁,good
雷总又要上班了,good
回头一望全是漫长的挫折和煎熬，庆幸的是一直走在坚持梦想的路上从未放弃，坚持很苦成功很酷[鲜花][鲜花],good
我的梦想就是小米能出一台IMX5，2k屏，5000+电池，不要曲面，不要打孔[笑cry][笑cry],good
马上要进去了吗，这是自我忏悔？,bad
隔壁看到了，以为这里不发了，最后一段话雷厂长说的很自然，真诚，“我主要是想和年轻人能够同频共振，能够讲一些他们听得懂的话”[good],good
30多年科技之路辛苦了[心],good
期待小米出一款小屏幕性能小钢炮@雷军,good
敢想敢干！,bad
雷总紧张吗,good
1987年我来了[允悲],good
雷厂长青年节快乐[哈哈],good
是滴[憧憬][憧憬][憧憬],bad
